,store,sido,gungu,store_address,store_number
315,동남지구점,충청북도,청주시,충청북도 청주시 상당구 중고개로 104 309동,043-291-7773
316,치평점,광주광역시,서구,광주광역시 서구 상무대로 739,062-385-9282
317,상주점,경상남도,남해군,경상남도 남해군 상주면 남해대로 696,055-863-4743
318,관산내유점,경기,고양시,경기 고양시 덕양구 동헌로 3번길 3,031-964-9989
319,구월아시아드점,인천광역시,남동구,인천광역시 남동구 구월동 1542-2,032-471-9282
320,동천점,경기도,용인시,경기도 용인시 수지구 수풍로 117번길 2-6,031-261-4777
321,도화점,인천광역시,미추홀구,인천광역시 미추홀구 숙골로 116,032-872-8892
322,위례역점,경기도,성남시,경기도 성남시 수정구 위례광장로 27,031-756-6888
323,매곡삼각점,광주,북구,광주 북구 매곡로 63(매곡동),062-573-9282
324,염주점,광주,서구,광주 서구 염화로40번길 201-1,062-225-9282
325,서판교점,경기,성남시,경기 성남시 분당구 운중로 129,070-4242-5566
326,송파장지점,서울,송파구,서울 송파구 새말로6길 24-33,02-407-6699
327,서귀포신시가지점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 김정문화로41번길 24-5,064-739-9279
328,오목교점,서울특별시,양천구,서울특별시 양천구 은행정로19가길 8,02-2645-9982
329,팽성점,경기도,평택시,경기도 평택시 팽성읍 안정순환로 142,031-651-9939
330,위례중앙점,서울,송파구,서울 송파구 장지동 896,02-400-7288
331,성남점,울산광역시,중구,"울산광역시 중구 중앙길 118, 1층 (성남동)",052-245-7245
332,호평점,경기,남양주시,"경기 남양주시 늘을2로 96, 호평마을대주파크빌 상가 109호",031-591-9285
333,남면점,경상북도,김천시,경상북도 김천시 천동길 303-5,054-439-8809
334,죽도점,경상북도,포항시,경상북도 포항시 북구 대해로 15,054-281-5001
335,금장현곡점,경상북도,경주시,경상북도 경주시 현곡면 금장5길 34-15,054-772-9909
336,관음점,대구광역시,북구,대구광역시 북구 칠곡중앙대로 429,053-314-7811
337,이곡신당점,대구광역시,달서구,대구광역시 달서구 선원로37길 20,053-582-9282
338,유강점,경상북도,포항시,경상북도 포항시 남구 연일읍 유강길 17,054-277-5995
339,봉덕점,대구광역시,남구,대구광역시 남구 봉덕로21길 53-3,053-471-8249
340,동탄새강마을점,경기도,화성시,경기도 화성시 반송동 155-6,031-8003-9995
341,평택용이점,경기도,평택시,경기도 평택시 용이동 452-20,031-655-8919
342,구영점,울산광역시,울주군,울산광역시 울주군 범서읍 798-1 102호,052-212-9211
343,오송호수공원점,충북,청주시,충북 청주시 흥덕구 오송읍 만수리 546,043-235-8292
344,외도하귀점,제주,제주시,"제주 제주시 우령서로 16, 1층",064-744-3404
345,연수2점,인천광역시,연수구,인천광역시 연수구 샘말로 87번길 7-6,032-811-6062
346,성복역점,경기도,용인시,경기도 용인시 수지구 성복2로 51 A동,031-889-9815
347,곤지암점,경기,광주시,경기 광주시 곤지암읍 평촌길 35-11,031-763-7856
348,강상점,경기도,양평군,경기도 양평군 강상면 강남로 913번길 1,031-771-3199
349,중산점,경기도,고양시,"경기도 고양시 일산동구 탄중로 311-16, 101호",031-915-0813
350,장곡점,경기도,시흥시,경기도 시흥시 장곡로 49번길 5-1.1층 101호(장곡동),031-506-0232
351,주촌신도시점,경상남도,김해시,"경상남도 김해시 주촌면 선천남로 13, 2층",055-329-9990
352,기산점,경기도,화성시,경기도 화성시 동탄지성로 410,031-239-4885
353,탄방점,대전광역시,서구,"대전광역시 서구 남선로 59번길 21, 1층",042-486-9289
354,제천본점,충북,제천시,충북 제천시 강제동 818번지 1층,043-648-0555
355,대연혁신점,부산광역시,남구,"부산광역시 남구 수영로325번길 61,301동 B107호 (대연동, 대연 롯데캐슬)",051-626-8114~5
356,연세대점,강원도,원주시,강원도 원주시 흥업면 매남동길 3-2 1층,033-763-0562
357,백령도점,인천광역시,옹진군,인천광역시 옹진군 백령면664-7,032-836-8282
358,금암점,충남,계룡시,충남 계룡시 장안1길 6 101호,042-551-1666
359,금호점,광주,서구,광주 서구 금화로73번길 18-9 1층(금호동),062-372-9281
360,옥길점,경기도,부천시,경기도 부천시 옥길동 715-6,032-343-9293
361,도당점,경기도,부천시,경기도 부천시 도당동43-8,032-671-0042
362,봉양점,충청북도,제천시,충청북도 제천시 제원로 2길 7,043-644-9592
363,가정점,인천광역시,서구,인천광역시 서구 가정동612-17,032-562-7100
364,세류점,경기도,수원시,경기도 수원시 권선구 세지로80,031-898-7444
365,도남시청점,제주시,신성로,제주시 신성로 19,064-727-1001
366,고운점,세종시,고운서길,세종시 고운서길 10,044-868-9592
367,소담점,세종시,국책연구원1로,"세종시 국책연구원1로 15, 상가A동 1층 102호",044-864-9282
368,고촌점,경기도,김포시,경기도 김포시 고촌읍 신곡리1160,031-996-8974
369,부평점,부산광역시,중구,"부산광역시 중구 흑교로 21번길 20 1층,(부평동4가)",051-255-0520
370,무실점,강원도,원주시,강원도 원주시 시청로 11 1층 102호,033-743-9292
371,첨단점,광주,광산구,광주 광산구 첨단내촌로 66,062-973-9291
372,장흥점,전남,장흥군,전남 장흥군 장흥읍 동교로 40,061-862-8999
373,동산반월점,전북,전주시,전북 전주시 덕진구 쪽구름로 128(반월동),063-213-9280
374,송천점,전북,전주시,"전북 전주시 덕진구 붓내1길 10, 208동 2층 204(송천동2가)",063-273-9282
375,인후점,전북,전주시,"전북 전주시 덕진구 거북바우로 148, 1층(인후동2가)",063-245-9288
376,아라점,제주특별자치도,제주시,제주특별자치도 제주시 아란8길 16,064-724-3303
377,호암점,충청북도,충주시,충청북도 충주시 호암동1216,043-853-7001
378,보라점,경기도,용인시,경기도 용인시 기흥구 사은로84번길 10,031-287-0804
379,신월점,서울특별시,양천구,서울특별시 양천구 화곡로3길 3,02-2604-9978
380,창전점,경기도,이천시,경기도 이천시 창전동451-28,031-631-4950
381,아중점,전북,전주시,전북 전주시 덕진구 석소로 9-6,063-244-9282
382,평화점,전북,전주시,전북 전주시 완산구 평화18길 23-10,063-221-9232
383,신시가지점,전북,전주시,전북 전주시 완산구 후곡길 23-9,063-222-9288
384,나주혁신점,전남,나주시,전남 나주시 배멧2길 39 로데오 빌딩 101호,061-336-9281
385,보성점,전라남도,보성군,전라남도 보성군 보성읍 주봉리 398,061-853-8592
386,서충주기업도시점,충북,충주시,충북 충주시 중앙탑면 원앙 9길 10 C동 1층 109호 (코아루 더 테라스상가),043-845-1030
387,단양점,충북,단양군,충북 단양군 단양읍 상진 13길 11,043-421-1236
388,공주신관점,충청남도,공주시,"충청남도 공주시 신금2길 17, 1층 104호",041-853-9285
389,해운대좌동1호점,부산광역시,해운대구,"부산광역시 해운대구 좌동로 152,1층 157호(좌동, 신도시시장)",051-701-9292
390,민락코스트코점,경기,의정부시,"경기 의정부시 용민로 469 , 107호",031-851-5592
391,묵현점,경기,남양주시,경기 남양주시 화도읍 먹갓로 28번길 5,031-595-0081
392,사동계양점,경상북도,경산시,경상북도 경산시 원효로32길 10,053-813-4089
393,국우점,대구광역시,북구,대구광역시 북구 학남로 99 A동 102호,053-322-0099
394,용흥점,경상북도,포항시,경상북도 포항시 북구 새마을로 88 1층,054-253-9979
395,동천점,경상북도,경주시,경상북도 경주시 대안길 39-2,054-745-3379
396,호미지구점,충청북도,청주시,충청북도 청주시 상당구 수영로360,043-295-6600
397,장지점,경기도,광주시,경기도 광주시 순암로55,031-767-0522
398,영등포점,서울특별시,영등포구,서울특별시 영등포구 영등포동7가 203외2필지,02-2675-7377
399,신창점,충청남도,아산시,충청남도 아산시 신창면 행목로217,041-545-9989
400,한숲시티점,경기도,용인시,경기도 용인시 처인구 남사면 한숲로 45,031-335-6661
401,토당점,경기도,고양시,경기도 고양시 덕양구 토당로125,031-971-0311
402,평택역점,경기도,평택시,경기도 평택시 평택동 292,031-652-9285
403,서귀포점,서귀포시,이중섭로,서귀포시 이중섭로 11,064-763-9982
404,제주삼양점,제주시,일주동로,제주시 일주동로 378,064-727-9991
405,이도점,제주시,승천로89,제주시 승천로89,064-727-6868
406,제주연동점,제주시,사장2길31,제주시 사장2길31,064-742-7792
407,용담점,제주시,용문로,제주시 용문로 162,064-712-5006
408,범일점,부산광역시,동구,부산광역시 동구 범상로 23 (범일동),051-636-1923
409,성내점,서울특별시,강동구,서울특별시 강동구 성내동 434-6,02-482-9992
410,서면1호점,부산광역시,부산진구,"부산광역시 부산진구 새싹로 41-1 , 1층(부전동",051-802-9250
411,세마점,경기도,오산시,경기도 오산시 양산동 673-3,031-373-9212
412,일도점,제주특별자치도,제주시,제주특별자치도 제주시 일도2동 402-26,064-723-7075
413,성성점,충청남도,천안시,충청남도 천안시 서북구 성성9로 7,041-621-1117
414,생초점,경상남도,산청군,경상남도 산청군 생초면 새실로3,055-973-7702
415,서산시청점,충청남도,서산시,충청남도 서산시 고운로142,041-668-1788
416,원당점,인천광역시,서구,인천광역시 서구 고산후로121번길 15,032-562-4555
417,상암점,서울특별시,마포구,서울특별시 마포구 성암로79,02-374-9374
418,도봉점,서울특별시,도봉구,서울특별시 도봉구 마들로28길 58,02-3491-9282
419,파장점,경기도,수원시,경기도 수원시 장안구 파장천로 6,031-245-8818
420,중산점,울산광역시,북구,"울산광역시 북구 중산로 7, 지상1층 (중산동)",052-291-3005
421,충북청천점,충청북도,괴산군,충청북도 괴산군 청천면 청천2길 5,043-832-1986
422,상도터미널점,경상북도,포항시,경상북도 포항시 남구 중흥로100번길 10,054-262-5001
423,노형점,제주특별자치도,제주시,제주특별자치도 제주시 월랑북길10,064-742-3330
424,까치산점,서울특별시,강서구,서울특별시 강서구 강서로17길 35,02-2696-1226
425,북아현점,서울특별시,서대문구,서울특별시 서대문구 경기대로9길 81 (충정로 3가),02-364-9282
426,홍제점,서울특별시,서대문구,서울특별시 서대문구 통일로39가길 57,02-396-2560
427,안암점,서울특별시,성북구,서울특별시 성북구 고려대로13길 43,02-929-2975
428,상계점,서울특별시,노원구,서울특별시 노원구 상계로23다길 5,02-951-2367
429,증산점,경남,양산시,경남 양산시 물금읍 새실2길 13,055-383-9242
430,옥산점,경상북도,경산시,경상북도 경산시 성암로 7길 8 A동  105호,054-812-9211
431,이동점,경상북도,포항시,"경상북도 포항시 남구 대이로 145, 102호",054-275-2922
432,유천오류점,대전광역시,중구,대전광역시 중구 계백로 1603번길 28-6 1층(유천동),042-523-0077
433,운양점,경기도,김포시,경기도 김포시 김포한강11로 38,031-987-1089
434,교동점,경남,양산시,경남 양산시 교동 245-2  협성강변타운 제상가 104동 101호,055-382-1772
435,송도점,부산광역시,서구,"부산광역시 서구 충무대로 34, 상가동 2층 2-2호",051-241-3066
436,용마산점,서울특별시,중랑구,서울특별시 중랑구 용마산로109길 24 (망우동),02-494-7878
437,장안점,서울특별시,동대문구,서울특별시 동대문구 답십리로68길 67,02-2217-0011
438,새솔점,경기도,화성시,경기도 화성시 수노을2로 36,031-355-5190
439,대림동산점,경기도,안성시,경기도 안성시 공도읍 대림동산길55,031-618-9977
440,강일점,서울특별시,강동구,서울특별시 강동구 강일동 676-1,02-429-8999
441,삼학점,전남,목포시,"전남 목포시 둥근섬로 54번길 14, 1층(산정동)",061-242-9282
442,명지오션시티점,부산광역시,강서구,"부산광역시 강서구 명지오션시티10로 114,",051-294-0399
443,서대신점,부산광역시,서구,부산광역시 서구 대영로38번길 11(서대신동1가),051-246-4988
444,김량장점,경기도,용인시,경기도 용인시 처인구 김량장동 295-1,031-338-8892
445,내손갈뫼점,경기도,의왕시,경기도 의왕시 내손동 741-1,031-424-8280
446,고림점,경기도,용인시,경기도 용인시 처인구 고림동 1005,031-322-9980
447,정관방곡점,부산광역시,기장군,"부산광역시 기장군 정관읍 방곡3로 18-1 , 1층",051-727-6076
448,수원정자점,경기도,수원시,경기도 수원시 장안구 정자동 874-1,031-269-1001
449,등촌역점,서울특별시,양천구,서울특별시 양천구 목동 960,02-2644-2929
450,포승점,경기도,평택시,경기도 평택시 포승읍 여술로74,031-682-6564
451,인천논현2점,인천광역시,남동구,인천광역시 남동구 논현동 593-8,032-427-5585
452,충무로점,서울특별시,중구,서울특별시 중구 퇴계로 179-1,02-2285-3685
453,신촌점,서울특별시,서대문구,서울특별시 서대문구 성산로22길36,02-3141-1367
454,창우점,경기도,하남시,경기도 하남시 대청로119-1,031-795-9253
455,미사역점,경기도,하남시,경기도 하남시 미사강변중앙로173,031-792-9394
456,신성자운점,대전,유성구,"대전 유성구 신성로77, 1층 (신성동)",042-867-7778
457,횡성점,강원도,횡성군,강원도 횡성군 횡성읍 읍마북로 13,033-343-7773
458,영월점,강원도,영월군,강원도 영월군 영월읍 은행나무5길 41,033-372-9333
459,송지호점,강원도,고성군,강원도 고성군 오호길 18,033-638-5525
460,반곡혁신점,강원도,원주시,강원도 원주시 양지로 160-2(반곡동),033-746-0909
461,문막점,강원도,원주시,강원도 원주시 문막읍 문막시장 1길 35,033-735-9860
462,케이준 철산한신점,경기도,광명시,경기도 광명시 철망산로 87,02-2611-0199
463,케이준 원곡점,경기도,안산시,경기도 안산시 단원구 지곡로1안길 12,031-494-8242
464,오포점,경기도,광주시,경기도 광주시 오포읍 양벌로 315,031-765-9989
465,케이준 소하점,경기도,광명시,경기도 광명시 성채안로 26,02-897-9245
466,케이준 부천상동점,경기도,부천시,경기도 부천시 상동 559-3,032-321-9282
467,케이준 본오점,경기도,안산시,경기도 안산시 상록구 본오동 827-8,031-406-9235
468,동백점,경기도,용인시,경기도 용인시 기흥구 동백3로 11번길 12,031-274-9299
469,초월점,경기도,광주시,경기도 광주시 초월읍 대쌍령리 191-6,031-766-1578
470,오천점,경기도,이천시,경기도 이천시 마장면 오천리 297-5,031-632-4543
471,안산사동점,경기도,안산시,경기도 안산시 상록구 사동 1397-1,031-416-9982
472,연산점,부산광역시,연제구,부산광역시 연제구 월드컵대로 109 1층(연산동),051-852-8292
473,약대점,경기도,부천시,경기도 부천시 약대동 216-1,032-321-9289
474,삼정점,경상남도,김해시,"경상남도 김해시 활천로 36번길 46, 1층(삼정동)",055-331-5533
475,역곡점,경기도,부천시,경기도 부천시 안곡로 279번길 42,032-347-9288
476,운서점,인천광역시,중구,인천광역시 중구 신도시남로 66,032-751-0070
477,왕십리점,서울특별시,성동구,서울특별시 성동구 마장로23길 7,02-6084-9283
478,이문점,서울특별시,동대문구,서울특별시 동대문구 신이문로23길 23,02-964-0132
479,독산2점,서울특별시,금천구,서울특별시 금천구 시흥대로 90길 32-8,02-892-7770
480,도안가수원점,대전광역시,서구,대전광역시 서구 가수원동 913,042-542-9283
481,두호점,경상북도,포항시,경상북도 포항시 북구 새천년대로1076번길 21 효암빌딩1층,054-251-9933
482,숭의점,인천광역시,미추홀구,인천광역시 미추홀구 장천로 80,032-888-0977
483,오태북삼점,경상북도,구미시,"경상북도 구미시 금오대로14길 32, 102호",054-464-7006
484,인천갈산점,인천광역시,부평구,인천광역시 부평구 주부토로 172번길 34 (갈산동),032-515-3557
485,갈현점,서울특별시,은평구,"서울특별시 은평구 갈현로 236, 1층 좌측호(갈현동)",02-384-7171
486,효창점,서울특별시,용산구,서울특별시 용산구 백범로77길 14 (원효로 1가),02-703-9271
487,율전점,경기도,수원시,경기도 수원시 장안구 율전동 360-9,031-295-9282
488,송도2점,인천광역시,연수구,인천광역시 연수구 송도문화로 28번길 28 (송도동),032-816-7282
489,남원점,전북,남원시,"전북 남원시 용성로 207,상가동1층 114호(도통동)",063-635-9282
490,센텀점,부산광역시,해운대구,"부산광역시 해운대구 센텀중앙로 145, 상가3동 1층 103호(재송동,더샵센텀파크1차아파트)",051-741-8282
491,남외점,울산광역시,중구,"울산광역시 중구 남외로 86, 104동 103호 (남외동,삼일아파트 상가)",052-294-7992
492,대현점,대구광역시,북구,대구광역시 북구 대현로 118,053-955-9288
493,울산대점,울산광역시,남구,"울산광역시 남구 대학로 94번길 6, 1층(무거동)",052-277-2633
494,수암점,울산광역시,남구,울산광역시 남구 수암로115번길 6-1,052-260-1566
495,상록점,경기도,안산시,경기도 안산시 상록구 서암로4길 20-1 (사동),031-406-8300
496,죽전점,경기도,용인시,경기도 용인시 수지구 현암로76,031-896-8607
497,괴정샘터점,부산광역시,사하구,"부산광역시 사하구 낙동대로 233번길 59, 1층(괴정동)",051-201-2891
498,월성점,대구광역시,달서구,대구광역시 달서구 월성동 84-5 월성주공1단지 나동 103호,053-638-8979
499,고잔점,경기도,안산시,경기도 안산시 단원구 고잔동 696-3,031-485-9277
500,고령덕곡점,경북,고령군,경북 고령군 덕곡면 덕운로 586,054-956-2731
501,고성점,대구광역시,북구,대구광역시 북구 고성북로3 101동 1층 4호,053-352-1225
502,복현점,대구광역시,북구,대구광역시 북구 복현2동 134-2,053-382-9279
503,동래점,부산광역시,동래구,"부산광역시 동래구 충렬대로218번길 26, 비동 1층(수안동)",051-558-9989
504,오전점,경기도,의왕시,"경기도 의왕시 등칙골4길 14, 1층 103호(오전동)",031-453-9221
505,화정점,울산광역시,동구,울산광역시 동구 대송8길 31(화정동),052-922-4068
506,오산운암점,경기도,오산시,경기도 오산시 원동로6 (원동),031-378-0987
507,와동점,경기도,안산시,경기도 안산시 단원구 화정천동로 2안길 28,031-482-9281
508,대화점,경기,고양시,"경기 고양시 일산서구 강성로 271 (대화동,대화씨티빌 101호)",031-911-3856
509,신주례점,부산광역시,사상구,부산광역시 사상구 백양대로 500번길 1,051-315-9992
510,진주신평점,경남,진주시,"경남 진주시 신평공원길 25번길 8-4,1층",055-741-7979
511,봉곡사림점,경남,창원시,"경남 창원시 의창구 봉곡로 50,1층(봉곡동)",055-277-8295
512,구로점,서울특별시,구로구,서울특별시 구로구 구로중앙로 28길 31-7,02-869-9992
513,헬리오시티점,서울특별시,송파구,서울특별시 송파구 가락로 16길 2-26 (석촌동),02-423-9281
514,남동탄점,경기도,화성시,경기도 화성시 동탄대로4길95 (장지동),031-376-4492
515,명지국제신도시점,부산광역시,강서구,"부산광역시 강서구 명지국제5로 14, 1층 101호(명지동, 서진빌딩)",051-968-7888
516,평창점,강원도,평창군,강원도 평창군 평창읍 백오1길 33,033-333-0009
517,여주교동점,경기도,여주시,경기도 여주시 세종로 254-16 (교동),031-881-3799
518,도원점,대구광역시,달서구,대구광역시 달서구 도원남로56 산새마을 분산상가 1층 103호,053-641-0041
519,장산역점,부산광역시,해운대구,"부산광역시 해운대구 세실로 7, 104호(좌동, 해운대상록아파트상가)",051-703-0678
520,이천점,경기도,이천시,경기도 이천시 관고동 12-4,031-633-1823
521,부곡점,부산광역시,금정구,부산광역시 금정구 동현로 23(부곡동),051-581-7890
522,석산점,경상남도,양산시,경상남도 양산시 동면 금오7길 24,055-363-9911
523,문현1동점,부산광역시,남구,"부산광역시 남구 고동골로 66, 1층(문현동)",051-624-9875
524,상동점,경남,거제시,경남 거제시 거제중앙로3길 14-2(상동동),055-635-9290
525,소사벌점,경기도,평택시,경기도 평택시 비전동 1053,031-656-8292
526,동탄중앙점,경기도,화성시,경기도 화성시 동탄산척로 2나길 6-7 (산척동),031-375-8292
527,항구영일대점,경상북도,포항시,경상북도 포항시 북구 아호로 3,054-253-9996
528,반야월점,대구광역시,동구,대구광역시 동구 안심로41길 47,053-964-0797
529,테크노폴리스점,대구광역시,달성군,대구광역시 달성군 유가읍 테크노중앙대로 326-35,053-611-6265
530,비전점,경기도,평택시,경기도 평택시 중앙로235 (비전동),031-658-9989
531,비산점,경기도,안양시,경기도 안양시 동안구 평촌대로408 (비산동),031-387-1112
532,부곡점,경기도,의왕시,경기도 의왕시 삼동 150-16,031-462-9233
533,홍성점,충남,홍성군,충남 홍성군 홍성읍 문화로 74,041-633-9982
534,율량점,충북,청주시,충북 청주시 청원구 율량로190번길19,043-903-0991
535,증평점,충북,증평군,충북 증평군 증평읍 문화로83,043-838-8977
536,송강테크로점,대전시,유성구,대전시 유성구 구즉로48번길10,042-935-9294
537,몰운대롯데캐슬점,부산광역시,사하구,"부산광역시 사하구 다대낙조2길 100, 101호(다대동,롯데캐슬몰운대아파트부상가)",051-262-9252
538,대구옥포돌미점,대구시,달성군,대구시 달성군 옥포면 돌미상업로2길 26,053-615-9986
539,영양점,경상북도,영양군,경상북도 영양군 영양읍 중앙로 111,054-682-1950
540,배곧점,경기도,시흥시,경기도 시흥시 정왕동 2476-2,031-432-9998
541,광주점,경기도,광주시,경기도 광주시 송정동111-1,031-761-2274
542,신하점,경기도,이천시,경기도 이천시 부발읍 신하리 432-15,031-636-8726
543,관양점,경기도,안양시,경기도 안양시 동안구 관양동 1423,031-425-5211
544,중동점,경기도,부천시,경기도 부천시 원미구 부흥로 272번길 22,032-321-7636
545,일죽점,경기도,안성시,경기도 안성시 일죽면 송천리 28-4,031-672-9385
546,인계점,경기도,수원시,경기도 수원시 팔달구 중부대로 80,031-222-9117
547,이천사동점,경기도,이천시,경기도 이천시 대월면 사동리 182-2,031-638-9013
548,은행점,경기도,시흥시,"경기도 시흥시 시흥대로 1074번길 28,106호(은행동, 녹원아파트 상가동)",031-312-9999
549,월곶점,경기도,시흥시,경기도 시흥시 월곶동 995,031-318-9292
550,우만점,경기도,수원시,경기도 수원시 팔달구 세지로421번길 37 (우만동),031-256-0903
551,호법점,경기도,이천시,경기도 이천시 호법면 후안리 267-4,031-632-9949
552,하안8점,경기도,광명시,경기도 광명시 하안동 260-2 8단지상가 104-2,02-802-4070
553,하안12점,경기도,광명시,경기도 광명시 하안동 62-4  1층 3호,02-806-5772
554,하안11점,경기도,광명시,경기도 광명시 하안동 30-5  10 단지상가  104,02-803-2993
555,포일점,경기도,안양시,경기도 안양시 동안구 흥안대로 427번길 38,031-425-1145
556,포도원점,경기도,안양시,경기도 안양시 동안구 호계3동 811 현대홈타운상가 107,031-452-0827
557,평촌5점,경기도,안양시,경기도 안양시 동안구 평촌동 898-2 초원아파트상가110,031-387-2134
558,태전점,경기도,광주시,경기도 광주시 태전동 688-1,031-762-9525
559,철산점,경기도,광명시,경기도 광명시 철산동 240  주공13단지 상가동,02-2682-3230
560,천리점,경기도,용인시,경기도 용인시 이동면 천리 56-6,031-333-5784
561,중앙대점,경기도,안성시,경기도 안성시 대덕면 내리 682-3,031-675-7750
562,안양중앙점,경기,안양시,경기 안양시 만안구 삼덕로 80-1 (안양동) 1층,031-444-5592
563,안성점,경기도,안성시,경기도 안성시 도기 4길 9(도기동),031-671-9282
564,신천리점,경기도,시흥시,경기도 시흥시 호현로49번안길 1(대야동),031-312-9709
565,신갈점,경기도,용인시,경기도 용인시 기흥구 신구로 38 청솔학원,031-274-5060
566,소사점,경기도,부천시,"경기도 부천시 소사구 소사로202번길 27, 1층(소사본동)",032-325-8787
567,성포점,경기도,안산시,경기도 안산시 상록구 성포동 592-2,031-487-8900
568,석수엘지점,경기도,안양시,경기도 안양시 만안구 석수동 415-2 엘지빌리지 상가,031-474-5592
569,샘마을점,경기도,안양시,경기도 안양시 동안구 호계동 1116 샘마을상가 1층,031-453-9992
570,산본점,경기도,군포시,경기도 군포시 산본동 1069-3 (1층),031-393-9282
571,북내점,경기도,여주시,경기도 여주시 북내면 여양2로 274,031-883-5320
572,케이준 부곡점,경기도,안산시,경기도 안산시 상록구 성호로 340,031-406-9979
573,보정점,경기도,용인시,"경기도 용인시 기흥구 죽현로 8-20 130(보정동,아이원프라자)",031-272-9259
574,범계점,경기도,안양,경기도 안양 동안 비산 1102 관악타운 상가122,031-381-8238
575,백암점,경기도,용인시,경기도 용인시 처인구 백암면 백암리 391번지,031-321-9282
576,백사점,경기도,이천시,경기도 이천시 백사면 현방리 67-12,031-632-0746
577,박달점,경기도,안양시,경기도 안양시 만안구 박달동 149-1,031-468-3392
578,미양점,경기도,안성시,경기도 안성시 미양면 보체리 405 상가 501동 101호,031-675-9258
579,모현점,경기도,용인시,경기도 용인시 처인구 모현면 일산리112-82,031-333-9952
580,만선점,경기도,광주시,경기도 광주시 곤지암읍 만선로 45,031-798-5525
581,둔전점,경기도,용인시,경기도 용인시 처인구 포곡읍 포곡로 118번길 24-11,031-334-7292
582,능평점,경기도,광주시,경기도 광주시 오포읍 수레실길 5,031-726-9253
583,금정점,경기도,군포시,경기도 군포시 금정동 79-1 1층,031-458-3888
584,군포점,경기도,군포시,경기도 군포시 당동 914-5번지,031-392-9295
585,구성점,경기도,용인시,"경기도 용인시 기흥구 구성로 186(언남동, 신일푸른솔아파트단지내 1층",031-274-9282
586,공도점,경기도,안성시,경기도 안성시 공도읍 고무다리길 3,031-658-9280
587,거모점,경기도,시흥시,경기도 시흥시 군자로504번안길 12(거모동),031-508-3398
588,이천갈산점,경기도,이천시,경기도 이천시 갈산로 87번길 4(갈산동),031-635-3792
589,가남점,경기도,여주시,경기도 여주시 가남읍 태평중앙1길 8-10,031-884-7718
590,한솔새롬점,세종시,누리로28,세종시 누리로28,044-862-9283
591,금정산SK점,부산광역시,금정구,"부산광역시 금정구 식물원로 82, 302동 201호(장전동, 금정에스케이뷰)",051-514-0123
592,평촌2호점,경기도,안양시,경기도 안양시 동안구 평촌대로127번길 38,031-385-9288
593,목감점,경기도,시흥시,경기도 시흥시 목감중앙서로20 시흥목감엘에이치 7단지,031-414-0056
594,시화3점,경기도,시흥시,"경기도 시흥시 정왕대로28번길 31 , 110(정왕동)",031-433-1457
595,시화2점,경기도,시흥시,"경기도 시흥시 옥구천서로373번길 43, 104호(정왕동, 주공1단지분산상가)",031-433-8292
596,정관롯데캐슬점,부산광역시,기장군,"부산광역시 기장군 정관읍 정관3로 52, 상가동 101호(롯데캐슬)",051-728-5595
597,호계2점,경기도,안양시,경기도 안양시 동안구 호계동 912-2,031-457-1288
598,향남2점,경기도,화성시,경기도 화성시 향남읍 신광길 19. 102호,031-352-5464
599,신림역점,서울특별시,관악구,"서울특별시 관악구 신림동길 40, 101(신림동)",02-871-8588
600,동삭점,경기도,평택시,"경기도 평택시 동삭로 397 상가동 104,105호",031-652-5092
601,길동점,서울시,강동구,서울시 강동구 길동 351-7,02-470-2933
602,괴안점,경기도,부천시,경기도 부천시 소사 괴안동 89-1,032-347-5661
603,덕진하가점,전북,전주시,전북 전주시 덕진구 가리내5길 16 103호(덕진동2가),050-4308-7522
604,산하1호점,울산광역시,북구,"울산광역시 북구 화암6길 14, 1층 101호(산하동)",052-282-3569
605,부곡월산점,경상남도,김해시,"경상남도 김해시 월산로 111-67,1 1층 105호(부곡동, 신화프라자)",055-335-2288
606,사상점,부산광역시,사상구,"부산광역시 사상구 광장로 81번길 90, 1층 (괘법동)",051-316-9292
607,아주점,경남,거제시,"경남 거제시 아주1로1길 7-2,1층(아주동)",055-682-7575
608,대소점,충북,음성군,충북 음성군 대소면 오태로 75-1,043-882-5592
609,진천장관점,충북,진천군,충북 진천군 진천읍 장관2길 139-1,043-533-1355
610,삼성2점,대전,동구,대전 동구 현암로 36,042-621-1504
611,삼성점,충북,음성군,충북 음성군 삼성면 덕정로62번길 2,043-877-3377
612,금왕점,충북,음성군,충북 음성군 금왕읍 무극로 234,043-878-5284
613,경산남산점,경북,경산시,경북 경산시 남산면 산양길 9,053-851-5999
614,원성점,충남,천안시,충남 천안시 동남구 버들로127,041-567-9979
615,가양점,서울,강서,서울 강서 가양 1475 강변아파트상가 203,02-2668-9306
616,방화점,서울특별시,강서구,"서울특별시 강서구 방화대로33길 17 (방화동,1층)",02-2064-7670
617,신풍역점,서울특별시,영등포구,"서울특별시 영등포구 신길로 108(신길동,남서울 아파트상가.신길동3591)",02-842-7979
618,신대방점,서울시,동작구,서울시 동작구 대방동 409-10,02-812-0085
619,암사점,서울,강동구,서울 강동구 암사동 425-197번지,02-427-9255
620,풍납점,서울,송파구,서울 송파구 풍납동 392번지,02-473-9927
621,송파점,서울,송파구,서울 송파구 송파동 135-18 102호,02-419-4734
622,문정점,서울,송파구,서울 송파구 동남로4길 24,02-403-9761
