,store,address,phone
323,둔촌2동,서울특별시 강동구 둔촌2동 천호대로198길 12,02-476-9553
324,등촌2동,서울특별시 강서구 등촌2동 등촌로53길 13,02-2642-9492
325,등촌3동,"서울특별시 강서구  강서로56길 64, 108,109호(등촌동 725, 마곡루나플라체)",02-3663-9492
326,마곡1호,"서울특별시 강서구  공항대로 140, 1205동 102-2호(마곡동, 마곡엠밸리12단지)",02-2661-3343
327,마곡나루역,"서울특별시 강서구  마곡서로 133, 714동 101호(마곡동 743-4, 마곡엠밸리7단지)",02-6012-9294
328,마두,"경기도 고양시 일산동구  강송로 181, 117호, 118호(마두동, 일산프라자)",031-903-8485
329,마산,"경기도 김포시  김포한강8로 162번길 10, 102호(마산동 650-7)",031-988-9296
330,마산구암,경상남도 창원시 마산회원구 구암동 구암북1길 124,055-292-9482
331,마산내서,경상남도 창원시 마산회원구 내서읍 중리 337-1번지,055-231-9926
332,마산산호,"경상남도 창원시 마산합포구  용마로 90, 104호(산호동)",055-243-5092
333,마산삼계,경상남도 창원시 마산회원구 내서읍 삼계로 56,055-232-9266
334,마산양덕,경상남도 창원시 마산회원구 양덕동 양덕로 140,055-294-9285
335,마산월영,경상남도 창원시 마산합포구 월영동 610-1,055-222-9294
336,마산회원,"경상남도 창원시 마산회원구  회원동서로 10, 상가101호(회원동 415-1, 중앙캐스빌)",055-241-9285
337,마석,경기도 남양주시 화도읍 마석우리 357-7,031-595-2255
338,마포도화,"서울특별시 마포구  도화4길 23, 102호(도화동 200-17)",02-704-9492
339,만수1호,"인천광역시 남동구 만수동 장승로 14, 창대아트빌",032-468-8294
340,만수2호,"인천광역시 남동구  만수서로21번길 4, 1층(만수동 107-3)",032-462-1589
341,망우본동,"서울특별시 중랑구 망우본동 용마산로 118길 63, 1층(망우동)",02-2209-9294
342,망원1동,"서울특별시 마포구  희우정로77, 상가동 102호(망원동 521, 마포한강아이파크)",02-332-8292
343,망포,"경기도 수원시 영통구  영통로 127, 102호(망포동, 센타프라자)",031-203-9492
344,매곡오치,"광주광역시 북구  매곡로 76, 1층(매곡동 214-4)",062-574-9295
345,매탄1동,경기도 수원시 영통구 매탄1동 매여울로 49,031-212-9492
346,매탄3동,경기도 수원시 영통구 매탄3동 인계로270번길 11-3 ,031-214-9277
347,면목,서울특별시 중랑구 면목동 면목로 35길 52,02-494-8279
348,면목본동,서울특별시 중랑구 면목동 412-1,02-432-9218
349,명서도계,경상남도 창원시 의창구 도계동 도계로 75,055-276-9294
350,명일,"서울특별시 강동구  양재대로134길 26, 105호(명일동 342-1, 명일그린스톤)",02-429-9492
351,명지국제신도시,부산광역시 강서구 명지동 3412-2 정우빌딩 2차 1층 114호,051-292-9482
352,목4동,서울특별시 양천구 목4동 목동중앙남로 12,02-2061-9494
353,목감,"경기도 시흥시 괴산읍 목감우회로 39, 118호",031-411-3607
354,목천읍,충청남도 천안시 동남구 목천읍 신계리 422번지 동우상가 120호,041-558-9294
355,목포용해,전라남도 목포시 용해동 포미로 10번길 8,061-277-9294
356,목포이로,"전라남도 목포시 맹동면 삼학로 331, 금호상가 102호",061-278-9294
357,목포하당,"전라남도 목포시  옥암로96번길 14, 1층(옥암동 969-4)",061-285-9294
358,무실,강원도 원주시  만대공원길 50(무실동),033-743-9294
359,무안남악,"전라남도 무안군 삼향읍 남악4로 50, 111호(남악리 1577, 골든스위트)",061-287-2999
360,무안읍,전라남도 무안군 무안읍 불무로 20,061-453-9492
361,무전북신,"경상남도 통영시  여황로 399-4, 106호(북신동 702, 진우일성타운)",055-645-0099
362,무주구천동,전라북도 무주군 설천면 구천동로 1050,063-322-7773
363,문경새재,"경상북도 문경시 문경읍 주흘1길 25, 1층(하리 104-3)",054-571-9494
364,문래,"서울특별시 영등포구  선유로3길10, 102호(문래동5가)",02-2633-9492
365,문막,"강원도 원주시 문막읍 왕건로 37, 1층(건등리 1624-5)",033-735-9294
366,문산,경기도 파주시 문산읍 독산로 31-1,031-953-6555
367,문정,서울특별시 송파구 문정동 동남로6길 41-10,02-449-4542
368,문화신풍,전라북도 군산시 신풍동 대학로 120-1,063-468-9482
369,미금,"경기도 성남시 분당구  미금일로74번길 5, 1층(구미동 57-5)",031-711-9296
370,미사1호,"경기도 하남시  미사강변북로30번길 106, 1층(망월동 997)",031-795-9294
371,미사수변공원,경기도 하남시 풍산동 551-10,031-794-9492
372,미성,서울특별시 관악구 미성동 난우길 43,02-865-9492
373,미아1호,"서울특별시 강북구  삼양로24길 19, 102동 103호(미아동 561-2, 현대성우아파트)",02-982-8669
374,민락,"경기도 의정부시  민락로 195, 1층(민락동 803-2)",031-851-9282
375,민락2지구,경기도 의정부시 구룡포읍 용민로 249 골든타워 101호,031-852-9482
376,민락광안1동,부산광역시 수영구 민락동 광남로 188,051-751-9492
377,박달,경기도 안양시 만안구 박달동 박달로 506,031-442-9294
378,반여2호,"부산광역시 해운대구  재반로 220-1, 1층(반여동 1291-1362)",051-784-9492
379,반월,"경기도 화성시  효행로1265번길 17, 101호(반월동 550-3)",031-222-9294
380,반포1동,서울특별시 서초구 반포1동 745 금성빌딩 101호,02-517-9482
381,방림양림,"광주광역시 남구  용대로183번길 20,1층(방림동 536-35)",062-653-9285
382,방배2동,"서울특별시 서초구  방배천로16길 11-18, 1층(방배동 437-26)",02-522-2279
383,방배4동,"서울특별시 서초구 방배4동 방배로32길 8, 1층 (조일빌딩)",02-591-9294
384,방어.꽃바위,울산광역시 동구  화문로 41(방어동),052-201-9940
385,방이,서울특별시 송파구  가락로 267 (방이동 159-5),02-421-9492
386,방학1동,"서울특별시 도봉구  방학로2길 77, 1층(방학동 701-46)",02-955-9282
387,방화역,서울특별시 강서구 방화3동 830-1 에어뷰오피스텔2 101호,02-2666-9279
388,배곧신도시,경기도 시흥시  배곧4로 32-9,031-431-9294
389,배곧캠퍼스,"경기도 시흥시  서울대학로264번길 26-32, 107호(배곧동 230, 배곧중앙프라자)",031-503-9494
390,배방,충청남도 아산시 배방읍 모산로 136,041-542-9294
391,백석1동,"경기도 고양시 일산동구  강석로 33, 104호(백석동 1288, 대우IAAN)",031-908-3445
392,번동,"서울특별시 강북구  덕릉로126, 1층(번동, 우일빌딩)",02-986-9494
393,"범어1,2,3동",대구광역시 수성구  상록로 45(범어동 478-11),053-751-9492
394,범어4.만촌3,대구광역시 수성구 범어4동 범어로18길 56,053-744-2822
395,변산격포,전라북도 부안군 변산면 격포로 142(격포리),063-583-9295
396,별내1호,경기도 남양주시 별내동 1014-4번지 101호,031-573-9492
397,별내2호,"경기도 남양주시  별내3로 249, 상가동 107호(별내동 913, 별사랑마을2 10단지)",031-527-7788
398,병점2동,"경기도 화성시  병점2로 65, 107호(병점동 259-15, 우남프라자)",031-234-6633
399,보라매,서울특별시 관악구  보라매로3길 3(봉천동 702-105),02-877-8982
400,보령동대,충청남도 보령시 동대동 한내로 52,041-931-0601
401,보성읍,전라남도 보성군 보성읍 중앙로 96-1,061-852-9956
402,복대개신,충청북도 청주시 흥덕구 복대2동 풍산로147번길 1,043-268-9294
403,본동월성2동,"대구광역시 달서구  와룡로5길 11, 1층(본동)",053-521-9492
404,본오1동,"경기도 안산시 상록구  본오로 27, 101호(본오동 669-7)",031-503-9254
405,본오2동,"경기도 안산시 상록구  본오로9길 6, 1층(본오동 818)",031-406-9294
406,봉곡사림,경상남도 창원시 의창구 사림동 사림로 53,055-266-9492
407,봉담1호,"경기도 화성시 봉담읍 상봉길 31, 120호 124호(상리, 지맨프라자)",031-227-9797
408,봉담2지구,"경기도 화성시 봉담읍 장등1길 3-18, 101호(상리 627-2)",031-296-9294
409,봉동,"전라북도 완주군 봉동읍 완주산단8로 24, 103호(둔산리 905-12)",063-262-5094
410,봉산국동,전라남도 여수시  대교로 26(봉산동 248-1),061-642-9939
411,봉일천,경기도 파주시 조리읍 고봉로 1032,031-946-9992
412,부개2동,인천광역시 부평구 부개동 부평문화로194번길 2,032-507-9294
413,부산가야,부산광역시 부산진구 가야3동 가야대로 552번길 135,051-896-9477
414,부산감만,부산광역시 남구 감만동 우암로79번길 1,051-637-0011
415,부산감전,"부산광역시 사상구  괘감로 108-1, 1층(감전동 120-13)",051-311-5999
416,부산감천,부산광역시 사하구 감천1동 감천로 69,051-202-9797
417,부산개금,부산광역시 부산진구 개금3동 개금온정로17번길 47-5,051-898-9592
418,부산거제,"부산광역시 연제구 중앙대로 1167, 105호(거제동, 중앙빌딩) 139-10",051-503-9289
419,부산괴정,부산광역시 사하구 괴정동 929번지,051-292-9982
420,부산구서,부산광역시 금정구 구서2동 184-23번지,051-582-9922
421,부산구포,부산광역시 북구 구포3동 시랑로47번길 4,051-334-3236
422,부산금곡,부산광역시 북구 금곡동 효열로 207,051-361-8294
423,부산기장,부산광역시 기장군 기장읍 차성동로 161,051-722-9590
424,부산낙민,"부산광역시 동래구  안남로 69, 1층( 안락동 670-4)",051-529-9482
425,부산남산,부산광역시 금정구 남산동 남산로37번길 60,051-513-9992
426,부산남천,부산광역시 수영구 유가면 수영로408번길 55,051-622-9492
427,부산남항,부산광역시 영도구 남항2가 절영로93번길 25-1 ,051-414-9482
428,부산다대,부산광역시 사하구 다대1동 933-12번지,051-266-8294
429,부산당감,부산광역시 부산진구 당감4동 당감서로 118-1,051-893-9592
430,부산당리,부산광역시 사하구 당리동 다대로 4,051-202-8294
431,부산대신,부산광역시 서구 서대신동3가 279-14번지 2통 4반,051-255-9492
432,부산대연,부산광역시 남구 대연동 못골로41번길 13,051-636-9284
433,부산덕천,부산광역시 북구 덕천1동 408-18번지,051-332-9492
434,부산덕포,부산광역시 사상구 덕포동 삼덕로 72-1,051-305-5592
435,부산동삼,부산광역시 영도구 동삼동 동삼로 79,051-403-4008
436,부산만덕,"부산광역시 북구 만덕2동 만덕2로44번길 72, 106호",051-334-2313
437,부산망미,부산광역시 수영구 망미1동 과정로41번길 45,051-752-9495
438,부산명륜,"부산광역시 동래구  명륜로 206, 1층(명륜동 676-101)",051-553-5539
439,부산명지,"부산광역시 강서구  명지오션시티4로 90, 102호(명지동 3237-13)",051-271-0055
440,부산문현,부산광역시 남구 문현1동 13-63번지,051-633-9494
441,부산반송,부산광역시 해운대구  윗반송로31번길 113-11(반송동 22-24),051-545-9282
442,부산반여,부산광역시 해운대구  선수촌로 162-1(반여1동),051-528-6700
443,부산범일,"부산광역시 동구  중앙대로 514, 103호(범일동 62-720, 한성기린프라자)",051-633-9294
444,부산범천,부산광역시 부산진구 범천동 범일로192번길 54,051-637-9284
445,부산부곡,부산광역시 금정구 부곡동 중앙대로1706번길 15,051-512-9929
446,부산부곡2호,부산광역시 금정구 부곡4동 서동로 36,051-583-9295
447,부산부암,부산광역시 부산진구  백양순환로 137-1(부암동 410-2),051-803-9234
448,부산부전,"부산광역시 부산진구  새싹로 37, 1층(부전동 401-9)",051-804-9293
449,부산사직,부산광역시 동래구 사직1동 사직북로28번길 6,051-502-8070
450,부산서동,부산광역시 금정구  서곡로 34(서동),051-531-9492
451,부산송도,부산광역시 서구 암남동 암남공원로 27,051-246-0047
452,부산수민,부산광역시 동래구 수안동 34-1번지 새동래상가 6동 104호,051-557-8292
453,부산수영,"부산광역시 수영구  수영로741번길 46, 218동 104호(수영동 432-1, 수영협성르네상스타운)",051-754-9291
454,부산수정,부산광역시 동구 양덕동 홍곡로 74,051-464-8292
455,부산안락,부산광역시 동래구 안락2동 충렬대로457번길 21,051-525-0505
456,부산양정,"부산광역시 부산진구  동평로406번길 33, 1층(양정동 389-22)",051-868-9282
457,부산엄궁,부산광역시 사상구 엄궁동 엄궁북로4번길 7,051-315-9294
458,부산온천,부산광역시 동래구 온천2동 중앙대로1335번길 21,051-557-9293
459,부산우2동,"부산광역시 해운대구 우2동 해운대로 361, 103호",051-742-9477
460,부산우동,부산광역시 해운대구 우1동 우동1로 45,051-741-9488
461,부산장림,"부산광역시 사하구  다대로320번길 25(장림동 403-3, A동)",051-264-9482
462,부산장전,부산광역시 금정구 장전동 장전온천천로73번길 6,051-512-9953
463,부산재송,부산광역시 해운대구 재송동 해운대로143번길 51,051-784-5600
464,부산전포,"부산광역시 부산진구  중앙대로 802, 104호(전포동)",051-805-8294
465,부산좌동,부산광역시 해운대구 좌2동 좌동순환로 275,051-704-9922
466,부산주례,부산광역시 사상구 주례1동 양지로8번길 45-15,051-323-5999
467,부산지사,"부산광역시 강서구  과학산단로334번나길 21, 1층(지사동 1194-7, 예찬하우스)",051-941-9492
468,부산청학,부산광역시 영도구 청학동 336-5 신도브래뉴 상가 112호,051-418-8292
469,부산초량,부산광역시 동구 초량동 초량로 59,051-467-9294
470,부산초읍,부산광역시 부산진구 초읍동 성지로 104번길 46,051-904-9292
471,부산토곡,부산광역시 연제구  고분로 248(연산동 483-1),051-759-9279
472,부산하단,부산광역시 사하구  하신번영로 304(하단동 887-9),051-294-9494
473,부산학장,부산광역시 사상구 학장동 대동로 147-3,051-315-9592
474,부산화명,부산광역시 북구 화명3동 2287-1 리버사이드빌딩 107-1호,051-363-9492
475,부안읍,"전라북도 부안군 부안읍 학동길 21-1, 201호",063-581-9290
476,부여,충청남도 부여군 부여읍 성왕로 221-1,041-836-9494
477,부천남부역,경기도 부천시 심곡본동 687-22 엘지아트빌 1층 102호,032-653-9494
478,부평4동,"인천광역시 부평구  주부토로 109, 1층(부평동 889-5)",032-516-3456
479,부평역,인천광역시 부평구  부평문화로 107-3(부평동 524-11),032-501-3040
480,부흥달안,"경기도 안양시 동안구  동안로 194, 117호(비산동, 한양스포츠센타)",031-388-9492
481,북가좌1호,"서울특별시 서대문구  증가로 220-1, 1층(북가좌동 282-27)",02-306-9988
482,북변사우,경기도 김포시 사우동 1066번지,031-998-0202
483,북아현,"서울특별시 서대문구  북아현로1길 50, 상가동 지하 106호(북아현동, 신촌푸르지오)",02-312-9294
484,분당동,경기도 성남시 분당구 분당동 96번지,031-708-9292
485,불광1동,서울특별시 은평구  불광로 114(불광동 11-13),02-382-9492
486,불로동,"인천광역시 서구  검단로 783-1, 101호(불로동 778-4, 한국알이엠)",032-566-7877
487,불현,"경기도 동두천시  평화로 2328, 1층 (지행동 275-18)",031-866-9409
488,비래가양,"대전광역시 동구  흥룡로 79, 1층(가양동 49-19)",042-632-9294
489,비전2동,경기도 평택시 비전2동 272-7번지,031-656-9492
490,사2동,"경기도 안산시 상록구 감골로 33, 101호",031-417-9492
491,사능,경기도 남양주시 진건읍 진건오남로105번길 15,031-527-9294
492,사당1동,서울특별시 동작구 사당1동 사당동 1038-12,02-588-9294
493,사당2동,서울특별시 동작구  동작대로39길 39 이수푸르지오더프레티움 상가 105호,02-592-9294
494,사동계양,경상북도 경산시  장산로 257(사동 588-10),053-813-9492
495,사창사직2,"충청북도 청주시 서원구  창신로25번길 15, 102호(사창동 286-6)",043-273-9289
496,산곡2동,"인천광역시 부평구  화랑북로11번길 38, 102호(산곡동 236-21)",032-517-9292
497,산곡4동,"인천광역시 부평구 광탄면 원길로11번길 33, 1층",032-525-9494
498,산남성화,"충청북도 청주시 서원구  두꺼비로 27번길 5-11, 102호(산남동 1074)",043-283-9282
499,산본1동,"경기도 군포시 신매동 580 군포로745번길 45, 1층",031-394-5999
500,산북소룡,"전라북도 군산시  칠성로 129, 1층(산북동 3559-5)",063-465-9482
501,삼동부곡,경기도 의왕시 삼동 솔밭길 16,031-462-9297
502,삼산1동,"인천광역시 부평구  평천로 389, 1층 일부(삼산동 264-2)",032-529-7494
503,삼산2동,인천광역시 부평구 삼산동 453-1번지,032-525-9292
504,삼성2동,"서울특별시 강남구 삼성동 삼성로103길 12, 123",02-515-9294
505,삼송1호,"경기도 고양시 덕양구  동산1로1길 23-23, 102호(동산동 355-1)",02-381-9294
506,삼숭고읍,"경기도 양주시  삼숭로 157, 106호(삼숭동 565-6)",031-844-8292
507,삼전,서울특별시 송파구 삼전동 백제고분로21길 20,02-424-9992
508,삼척,강원도 삼척시  대학로 40,033-575-9282
509,삼학자유,"전라남도 목포시  둥근섬로 48-1, 1층(산정동 1360)",061-244-2929
510,상.중동,대구광역시 수성구 상동 상화로 66,053-767-9492
511,상계6.7동,서울특별시 노원구 상계동 728-3 주공6단지 상가 101호,02-936-8288
512,상계보람,서울특별시 노원구  노원로34길 66,02-930-9288
513,상대원,"경기도 성남시 중원구  희망로 324, 1층(상대원동 2048)",031-757-9492
514,상도1동,서울특별시 동작구 상도동 436,02-826-9294
515,상동,"경기도 부천시  소향로 37번길 19, 1층 122,123호(상동)",032-329-9949
516,상동하당,전라남도 목포시 상동 상리로15번길 15,061-277-7200
517,상모사곡,경상북도 구미시 사곡동 703-5 1층,054-464-9499
518,상무2호,"광주광역시 서구 쌍촌동 화정로85번길 30-1, 1층",062-375-9992
519,상봉봉안,경상남도 진주시 상봉서동 진주성로 103,055-743-8294
520,상암,서울특별시 마포구 상암동 30-1번지 형제빌딩 103호,02-376-9294
521,상왕십리역,"서울특별시 성동구  왕십리로 410, L동 111호(하왕십리동, 센트라스)",02-2281-1087
522,상인1호,대구광역시 달서구 상인동 상인로100-1,053-632-9492
523,상일,"서울특별시 강동구 상일동 구천면로100길 15, 1층",02-481-9492
524,상주냉림무양,경상북도 상주시 맹동면 냉림2길 31-3,054-533-9495
525,새솔동,"경기도 화성시  수노을1로 191, 상가4동 102호(새솔동 18)",031-356-9592
526,서강,"서울특별시 마포구  독막로22길 28,1층(창전동)",02-338-9294
527,서곡지구,"전라북도 전주시 완산구  서곡1길 1-4, 1층(효자동3가 1457-3)",063-275-9492
528,서대문연희,서울특별시 서대문구 연희동 연희로 170,02-333-9492
529,서둔탑동,"경기도 수원시 권선구  탑동로 18, A동 101호(탑동 843-6, 가람빌딩)",031-298-9492
530,서림,"서울특별시 관악구 정관읍 서림길 28, 101호",02-882-5155
531,서부신시가지,전라북도 전주시 완산구 효자동 후곡길 23-11,063-236-9294
532,서부전하,울산광역시 동구 서부동 봉수로 290,052-236-9292
533,서산대산,"충청남도 서산시 대산읍 충의로 1908, 104호(대산리149-7)",041-664-0917
534,서산동문,"충청남도 서산시 동문동 189-7, 1층",041-666-5892
535,서산예천,"충청남도 서산시  석남3로 7, 1층(석남동 113-51)",041-667-9492
536,서창지구,"인천광역시 남동구  서창남순환로215번길 48, 118호(서창동 686-1)",032-469-9294
537,서천,충청남도 서천군 서천읍 사곡안길11번길 50-4,041-953-9492
538,서초1동,"서울특별시 서초구  사임당로 105, 105호,106호(서초동 1647-2)",02-597-9077
539,서초2동,서울특별시 서초구 서초2동 서운로 79,02-525-9294
540,서초3동,서울특별시 서초구 서초3동 반포대로22길 79-5,02-588-9492
541,서충주신도시,"충청북도 충주시 대소원면 첨단산업4로 31, 1층",043-846-9492
542,서판교,"경기도 성남시 분당구 운중동 운중로 178번길 1, 107호",031-709-9294
543,서현,"경기도 성남시 분당구  황새울로360번길 26, 2층 203호(서현동, 삼보프라자)",031-701-9243
544,석관,"서울특별시 성북구 석관동 돌곶이로 21, 1층",02-967-9492
545,석남,인천광역시 서구 석남동 석남로 78,032-581-3100
546,석동풍호,"경상남도 창원시 진해구 자은동 냉천로 88, 103호",055-544-9494
547,석수2동,경기도 안양시 만안구 석수동 안양로532번길 27,031-474-9292
548,선부1동,"경기도 안산시 단원구  선부광장1로 173, 110호(선부동 1188, 안산라프라모)",031-410-9492
549,선부3동,"경기도 안산시 단원구  달미로 96-1, 101호(선부동 1096-19)",031-402-9994
550,성건중부,경상북도 경주시 성건동 북성로 98,054-777-2092
551,성남동,"경기도 성남시 중원구  산성대로 200, 201호(성남동 2149, 황제빌딩)",031-732-9232
552,성남용전,"대전광역시 동구  우암로171번길 64, 1층(성남동 166-89)",042-624-1253
553,성내2동,"서울특별시 강동구 성내동 천호대로162길 34, 이안상가 110,111호",02-470-9492
554,성내3동,서울특별시 강동구 성내3동 433-14 1층,02-472-9492
555,성당본리,"대구광역시 달서구  대명천로 96, 1층(성당동 398-15)",053-628-9494
556,성복,경기도 용인시 수지구 성복동 129-1,031-272-9494
557,성사,경기도 고양시 덕양구  호국로790번길 42-4(성사동 702-9),031-965-9492
558,성산,"제주도 서귀포시 성산읍 해맞이해안로 2660, 1층",064-782-9262
559,성산2동,서울특별시 마포구  성암로7길 25(성산동 147-1),02-307-9294
560,성서계명대,대구광역시 달서구 신당동 서당로9안길 5,053-584-9288
561,성수1호,"서울특별시 성동구  상원1길 26, 1층 108-2호(성수동1가, 서울숲A타워)",02-464-9294
562,성신여대,서울특별시 성북구 동선동2가 보문로30나길 33,02-923-9492
563,성연테크노벨리,충청남도 서산시 성연면 충의로 696,041-663-9492
564,성포,"경기도 안산시 상록구 성포동 성포로 31, 현대@상가 112동 107호",031-486-9594
565,성현,서울특별시 관악구 봉천동 은천로25길 3,02-884-7703
566,세교.통복,"경기도 평택시  평택1로 74, 1층(비전동 468)",031-653-9979
567,세교1호,"경기도 오산시  대호로 131, 1층(궐동 612-1, 대유프라자)",031-375-6969
568,세마역,"경기도 오산시  수목원로 602, 109호, 110호(세교동 600-6)",031-376-9585
569,세종고운,"세종특별자치시   마음로 151, 917동 지층 102호(고운동, 가락마을9단지)",044-864-9245
570,세종다정,"세종특별자치시   다정서로 60, 102호(다정동, 가온마을5단지)",044-865-9492
571,세종도담,"세종특별자치시   보듬3로 6, 107호(도담동, 라온프라이빗시티Ⅱ)",044-863-9294
572,세종소담,"세종특별자치시   국책연구원1로 15, 상가A동 106,107호(소담동 521, 새샘마을9단지)",044-862-9492
573,세종종촌,"세종특별자치시   도움1로 74, 상가동 105호(종촌동 656, 가재마을10단지)",044-863-9492
574,세종한솔.새롬,"세종특별자치시   새롬중앙로 34, 118A호(새롬동 574, 크리스마스빌딩)",044-868-9294
575,소사,"경기도 부천시  소사로102번길 47, 청구@ 상가 101호",032-344-9477
576,소사벌,"경기도 평택시  비전6길 21-1, 1층(비전동 991)",031-651-9294
577,소촌우산,"광주광역시 광산구  금봉로 105-1, 1층(우산동 1078-9)",062-941-9495
578,소하1동,경기도 광명시 소하1동 1324번지 주공아파트 상가 (후문),02-899-9492
579,소하2동,경기도 광명시 소하동 성채로50번길 33,02-898-9291
580,속초교동,강원도 속초시  교동로 51(교동 774-23),033-637-8892
581,속초조양,"강원도 속초시  조양상가길 2, 110호",033-638-9595
582,송강테크노,"대전광역시 유성구 관평동 테크노3로 77, 1층",042-936-8292
583,송내2동,"경기도 부천시  성주로 96,102호(송내동 464-1)",032-661-9282
584,송내북부역,"경기도 부천시  석천로 54, 1층(상동 226-6, 대동빌딩)",032-321-9492
585,송도3동,"인천광역시 연수구  송도문화로28번길 28, 202동 131호(송도동 190-2, 송도글로벌캠퍼스푸르지오)",032-816-9494
586,송도5동,"인천광역시 연수구  센트럴로 415, 190호(송도동 316, 송도 더테라스)",032-833-9294
587,송도신도시,인천광역시 연수구 송도동 컨벤시아대로 50,032-833-9482
588,송림송현,"인천광역시 동구  새천년로 32, 1층(송림동 102-78)",032-773-9282
589,송우리,경기도 포천시 소흘읍 송우로 55-5,031-544-9294
590,송정도산,광주광역시 광산구 남동길 남동길48번길 53,062-945-9285
591,송정원평,경상북도 구미시 송정동 신시로 14길 50,054-443-9494
592,송천에코,전라북도 전주시 덕진구 송천동 1가 송천로 112-42,063-277-9288
593,송추,경기도 양주시 장흥면 가마골로 173,031-837-9005
594,송파,"서울특별시 송파구  송이로 29-1, 101호, 102호(송파동 164-7)",02-422-9482
595,수곡모충,충청북도 청주시 서원구 수곡동 구룡산로 340,043-285-9492
596,수내,"경기도 성남시 분당구  발이봉남로 3번길 4, 1층",031-711-9492
597,수락,"서울특별시 노원구 상계1동 동일로 239길 19, 105호",02-933-9295
598,수색증산,"서울특별시 은평구 증산동 증산서길 98, 1층",02-372-9285
599,수송미장,"전라북도 군산시  축동로 27, 102호(수송동 791-4)",063-466-9294
600,수암신정2호,"울산광역시 남구 야음동 신선로 45, 롯데캐슬 중앙상가동 209호",052-276-1919
601,수완2호,광주광역시 광산구 구룡포읍 신가동 1245 1층,062-955-9493
602,수원고등,"경기도 수원시 팔달구  고등로59번길 63, 1층(고등동 167-30)",031-252-9294
603,수원세류,경기도 수원시 권선구  덕영대로 1113-10 1층 상가전부,031-223-9294
604,수원역,"경기도 수원시 팔달구  매산로52번길 8-1, 1층(매산로2가 60-110)",031-255-9492
605,수원영화,"경기도 수원시 장안구  정조로934번길 46, 1층(영화동 161-57)",031-245-2727
606,수원율전,"경기도 수원시 장안구  덕영대로425번길 41, 1층(율전동 154-1)",031-269-9298
607,수원인계,"경기도 수원시 팔달구 인계동 세지로152번길 28, 1층(인계동, 미그린2)",031-233-9294
608,수원정자3동,경기도 수원시 장안구 천천동 481-5 1층,031-268-9211
609,수유2동.벽산,서울특별시 강북구 수유2동 삼양로 424,02-998-1500
610,수진,"경기도 성남시 수정구  제일로147번길 4, 101동 104호(수진동,현대아파트)",031-754-9255
611,수택2동,"경기도 구리시  벌말로 185, 117호(수택동, 구리태영데시앙)",031-553-9492
612,수택3동,경기도 구리시 수택3동 853번지 럭키아파트상가 108호,031-568-9294
613,순창,전라북도 순창군 순창읍 장류로 358,063-653-9492
614,순천남부,전라남도 순천시 장천동 우석로 202,061-746-9292
615,순천북부,"전라남도 순천시  업동2길 2, 1층(용당동 562-4)",061-751-9244
616,순천연향,전라남도 순천시 연향동 연향1로 12,061-722-9294
617,순천조례,"전라남도 순천시  신월큰길 27, 1층(조례동 954)",061-722-8292
618,순천풍덕,"전라남도 순천시  남산로 153, 1층(풍덕동 875-40)",061-741-7492
619,숭의,인천광역시 미추홀구  수봉로 6-15,032-884-8294
620,시립대,"서울특별시 동대문구  사가정로 149, 1층(전농동 38-3)",02-2214-5292
621,시흥1동,"서울특별시 금천구  금하로14길 10, 1층(시흥동 887-24)",02-894-9294
622,시흥5동,"서울특별시 금천구  금하로 731-7, 1층(시흥동)",02-804-9294
623,시흥능곡,"경기도 시흥시  능곡로 182, 107호(능곡동 753, 신성프라자)",031-435-9294
624,시흥대야,경기도 시흥시 대야동 475-11번지,031-313-9294
625,시흥신천,"경기도 시흥시  신천3길 41, 1층(신천동 378-7)",031-311-9294
626,시흥월곶,"경기도 시흥시 월곶동 월곶중앙로30번길 4, 주영프라자 101호",031-318-9482
627,신갈,경기도 용인시 기흥구 구갈동 구갈로60번길 11,031-285-3800
628,신곡1동,경기도 의정부시 신곡동 발곡로 31번길 15,031-821-9294
629,신곡2동,"경기도 의정부시 신곡동 부용로210번길 17, 101호",031-851-9285
630,신기북정,경상남도 양산시  삼성5길 5-21(북정동 905-9),055-387-9212
631,신길뉴타운,"서울특별시 영등포구  신길로 119, 112동 110호(신길동 4937, 한화꿈에그린상가)",02-832-9492
632,신내1동,서울특별시 중랑구 신내1동 398-4번지,02-436-9977
633,"신당3,4동","서울특별시 중구  다산로32, 108호(신당동, 남산타운상가제2동)",02-2253-3344
634,신당역,서울특별시 중구 무학동 퇴계로87길 22,02-2232-9294
635,신대,전라남도 순천시 해룡면 매안4길 22,061-723-8294
636,신대방1동,서울특별시 동작구 신대방1동 신대방1길 16,02-843-9294
637,신도림,서울특별시 구로구 신도림동 신도림로11길 45,02-2677-9294
638,신둔,경기도 이천시 신둔면 증신로 561,031-633-1696
639,신림동,서울특별시 관악구 신림동 신림동길 27,02-885-9294
640,신방화역,"서울특별시 강서구  마곡서1로 131, 101호(마곡동 734, 마곡엠밸리1단지)",02-2663-9294
641,신사1동,"서울특별시 은평구  갈현로 39-1, 1층 4호(신사동)",02-386-9294
642,신사우,"강원도 춘천시  충열로 101, 102호 (우두동 409-11)",033-251-9211
643,신수,"서울특별시 마포구  토정로18길 11, 102호(현석동 225, 래미안웰스트림)",02-715-9492
644,신시가지,제주도 서귀포시  신서로 55,064-739-9294
645,신안평거,경상남도 진주시 평거동 신평공원길 25번길 12-13,055-748-9492
